
Runtime summary
                          comm  parent   sched-in     run-time    min-run     avg-run     max-run  stddev  migrations
                                          (count)       (msec)     (msec)      (msec)      (msec)       %
---------------------------------------------------------------------------------------------------------------------
                    systemd[1]       0          6        1.039      0.138       0.173       0.276   12.41       0
             migration/40[257]       2         40        0.302      0.003       0.007       0.040   12.50       0
             migration/83[515]       2         40        0.341      0.008       0.008       0.019    3.23       0
              agent[6659/3163]    3163          1        0.046      0.046       0.046       0.046    0.00       0
          kworker/27:1-mm[774]       2         18        0.182      0.006       0.010       0.017    9.06       0
             migration/41[263]       2         40        0.265      0.003       0.006       0.041   14.47       0
          kworker/28:1-ev[775]       2        402       11.489      0.003       0.028       0.100    3.47       0
          kworker/30:1-ev[776]       2        667        4.422      0.002       0.006       0.259    7.37       0
             migration/84[521]       2         40        0.293      0.003       0.007       0.043   14.95       0
          kworker/29:1-mm[777]       2       1088        7.535      0.001       0.006       0.078    3.63       0
            dockerd[4361/2411]    2411         89        4.327      0.010       0.048       0.200    6.26       0
           kworker/u224:0-[10]       2       2196     3499.420      0.006       1.593      48.734    2.51       0
          kworker/31:1-mm[778]       2        676        3.947      0.002       0.005       0.071    3.75       0
              irqbalance[2314]       1         15      135.774      8.954       9.051       9.225    0.19       0
         containerd[4362/2345]    2345          2        1.308      0.023       0.654       1.285   96.43       0
          kworker/32:1-mm[779]       2        451        2.649      0.001       0.005       0.158    6.58       0
          kworker/33:1-mm[780]       2        433        2.392      0.001       0.005       0.267   13.28       0
         jbd2/nvme0n1p2-[1548]       2         71        4.301      0.003       0.060       0.282   12.97       0
            dockerd[4364/2411]    2411          1        0.122      0.122       0.122       0.122    0.00       0
             migration/42[269]       2         40        0.320      0.003       0.008       0.040   11.42       0
          kworker/34:1-mm[781]       2        396        1.988      0.002       0.005       0.043    5.12       0
              agent[4365/3163]    3163          1        0.165      0.165       0.165       0.165    0.00       0
               ksoftirqd/0[14]       2         69        1.000      0.008       0.014       0.127   11.82       0
          kworker/35:1-mm[782]       2        219        1.323      0.002       0.006       0.034    6.78       0
                   gmond[2318]       1         18        7.702      0.065       0.427       1.020   18.57       0
                 rcu_sched[15]       2       2000       31.812      0.005       0.015       0.042    0.62       0
             migration/85[527]       2         40        0.235      0.002       0.005       0.040   16.55       0
          kworker/36:1-mm[783]       2        190        1.515      0.002       0.007       0.042    7.27       0
           kworker/90:1H[1551]       2          3        0.353      0.087       0.117       0.140   13.47       0
               migration/0[16]       2         40        0.373      0.008       0.009       0.042    9.19       0
          kworker/37:1-mm[784]       2        113        0.557      0.002       0.004       0.034    8.67       0
          kworker/38:1-mm[785]       2        132        0.684      0.002       0.005       0.040    9.40       0
         containerd[5905/2345]    2345        419       23.902      0.019       0.057       1.517    6.56       0
          kworker/39:1-mm[786]       2         73        0.464      0.002       0.006       0.033   10.14       0
             migration/43[275]       2         40        0.327      0.003       0.008       0.041   11.45       0
          kworker/40:1-mm[787]       2        102        0.551      0.002       0.005       0.038    9.63       0
       kworker/64:1-mm[145427]       2          5        0.077      0.013       0.015       0.017    5.22       0
          kworker/41:1-mm[788]       2         76        0.384      0.002       0.005       0.016    6.54       0
                  screen[7700]       1          8        2.931      0.040       0.366       1.732   56.34       0
       kworker/61:2-mm[145428]       2          5        0.098      0.013       0.019       0.030   15.74       0
       kworker/u228:1-[571668]       2         45        1.282      0.009       0.028       0.049    3.04       0
             migration/86[533]       2         40        0.218      0.002       0.005       0.041   17.71       0
          kworker/42:1-mm[789]       2        175        1.266      0.002       0.007       0.068    7.44       0
            dockerd[4629/2411]    2411          2        1.589      0.246       0.794       1.342   68.98       0
               migration/1[22]       2         40        0.391      0.008       0.009       0.041    9.95       0
          kworker/43:1-mm[790]       2         44        0.280      0.002       0.006       0.038   16.37       0
          kworker/44:1-ev[791]       2        247        1.456      0.002       0.005       0.034    5.01       0
         kworker/89:1H-k[1303]       2          1        0.063      0.063       0.063       0.063    0.00       0
              snapd[2583/2327]    2327          3        0.544      0.031       0.181       0.460   76.90       0
          kworker/45:1-mm[792]       2         50        0.294      0.002       0.005       0.028   11.22       0
              snapd[2584/2327]    2327          1        0.286      0.286       0.286       0.286    0.00       0
             migration/44[281]       2         40        0.336      0.002       0.008       0.041   11.20       0
          kworker/46:1-ev[793]       2        359        6.802      0.002       0.018       0.139    6.65       0
          systemd-logind[2329]       1          2        0.299      0.129       0.149       0.170   13.60       0
              snapd[2585/2327]    2327          6        1.639      0.027       0.273       1.383   81.32       0
