# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16M of event 'sched:sched_switch'
# Event count (approx.): 16928629
#
# Overhead  Command          Shared Object      Symbol        
# ........  ...............  .................  ..............
#
    49.98%  swapper          [kernel.kallsyms]  [k] __schedule
     7.50%  main             [kernel.kallsyms]  [k] __schedule
     3.24%  worker-11        [kernel.kallsyms]  [k] __schedule
     3.17%  worker-4         [kernel.kallsyms]  [k] __schedule
     3.02%  worker-12        [kernel.kallsyms]  [k] __schedule
     2.96%  worker-7         [kernel.kallsyms]  [k] __schedule
     2.76%  worker-6         [kernel.kallsyms]  [k] __schedule
     2.73%  worker-3         [kernel.kallsyms]  [k] __schedule
     2.68%  worker-8         [kernel.kallsyms]  [k] __schedule
     2.67%  worker-1         [kernel.kallsyms]  [k] __schedule
     2.65%  worker-2         [kernel.kallsyms]  [k] __schedule
     2.54%  worker-5         [kernel.kallsyms]  [k] __schedule
     2.43%  worker-15        [kernel.kallsyms]  [k] __schedule
     2.42%  worker-14        [kernel.kallsyms]  [k] __schedule
     2.39%  worker-10        [kernel.kallsyms]  [k] __schedule
     2.32%  worker-13        [kernel.kallsyms]  [k] __schedule
     2.21%  worker-9         [kernel.kallsyms]  [k] __schedule
     1.47%  worker-16        [kernel.kallsyms]  [k] __schedule
     0.32%  :-1              [kernel.kallsyms]  [k] __schedule
     0.04%  lcpan            [kernel.kallsyms]  [k] __schedule
     0.02%  containerd       [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/u224:0-  [kernel.kallsyms]  [k] __schedule
     0.01%  rcu_sched        [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/87:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/89:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/86:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/30:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/90:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/31:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/32:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/111:1-m  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/29:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/93:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/92:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  perf             [kernel.kallsyms]  [k] __schedule
     0.01%  gmond            [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/91:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/88:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/109:1-m  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/110:1-m  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/95:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/85:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/94:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/107:1-m  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/35:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/106:1-m  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/99:1-mm  [kernel.kallsyms]  [k] __schedule
