# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3M of event 'sched:sched_switch'
# Event count (approx.): 3372286
#
# Overhead  Command          Shared Object      Symbol        
# ........  ...............  .................  ..............
#
    49.90%  swapper          [kernel.kallsyms]  [k] __schedule
    47.96%  worker-1         [kernel.kallsyms]  [k] __schedule
     0.59%  main             [kernel.kallsyms]  [k] __schedule
     0.21%  containerd       [kernel.kallsyms]  [k] __schedule
     0.11%  lcpan            [kernel.kallsyms]  [k] __schedule
     0.10%  :-1              [kernel.kallsyms]  [k] __schedule
     0.10%  gmond            [kernel.kallsyms]  [k] __schedule
     0.08%  kworker/u225:1-  [kernel.kallsyms]  [k] __schedule
     0.07%  kworker/u224:0-  [kernel.kallsyms]  [k] __schedule
     0.06%  rcu_sched        [kernel.kallsyms]  [k] __schedule
     0.04%  kworker/66:0-ev  [kernel.kallsyms]  [k] __schedule
     0.04%  kworker/u226:2   [kernel.kallsyms]  [k] __schedule
     0.04%  kworker/108:1H-  [kernel.kallsyms]  [k] __schedule
     0.04%  kworker/0:2-kac  [kernel.kallsyms]  [k] __schedule
     0.03%  dockerd          [kernel.kallsyms]  [k] __schedule
     0.03%  perf             [kernel.kallsyms]  [k] __schedule
     0.02%  kworker/85:1-mm  [kernel.kallsyms]  [k] __schedule
     0.02%  multipathd       [kernel.kallsyms]  [k] __schedule
     0.02%  kcompactd0       [kernel.kallsyms]  [k] __schedule
     0.02%  kcompactd1       [kernel.kallsyms]  [k] __schedule
     0.02%  agent            [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/29:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/28:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/30:1-ev  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/86:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/104:1-m  [kernel.kallsyms]  [k] __schedule
     0.01%  containerd-shim  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/87:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/46:1-ev  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/90:1-ev  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/88:1-mm  [kernel.kallsyms]  [k] __schedule
