# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 17M of event 'sched:sched_switch'
# Event count (approx.): 17461147
#
# Overhead  Command          Shared Object      Symbol        
# ........  ...............  .................  ..............
#
    49.98%  swapper          [kernel.kallsyms]  [k] __schedule
     7.16%  worker-5         [kernel.kallsyms]  [k] __schedule
     6.76%  worker-3         [kernel.kallsyms]  [k] __schedule
     6.55%  worker-7         [kernel.kallsyms]  [k] __schedule
     6.07%  worker-6         [kernel.kallsyms]  [k] __schedule
     5.69%  main             [kernel.kallsyms]  [k] __schedule
     5.32%  worker-4         [kernel.kallsyms]  [k] __schedule
     4.24%  worker-8         [kernel.kallsyms]  [k] __schedule
     4.10%  worker-1         [kernel.kallsyms]  [k] __schedule
     3.62%  worker-2         [kernel.kallsyms]  [k] __schedule
     0.16%  :-1              [kernel.kallsyms]  [k] __schedule
     0.04%  lcpan            [kernel.kallsyms]  [k] __schedule
     0.02%  containerd       [kernel.kallsyms]  [k] __schedule
     0.02%  kworker/u224:0-  [kernel.kallsyms]  [k] __schedule
     0.01%  rcu_sched        [kernel.kallsyms]  [k] __schedule
     0.01%  perf             [kernel.kallsyms]  [k] __schedule
     0.01%  gmond            [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/87:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/86:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/89:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/30:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/88:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/29:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/85:1-ev  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/91:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/90:1-mm  [kernel.kallsyms]  [k] __schedule
     0.01%  kworker/96:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/u225:2-  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/31:1-ev  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/32:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/37:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/u226:0-  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/35:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/34:1-ev  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/36:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/33:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/94:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  dockerd          [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/92:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/100:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/95:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/0:2+kac  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/111:1-e  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/101:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/93:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/103:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/46:1-ev  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/108:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/106:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/u225:3-  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/107:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/110:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/97:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/105:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/104:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/43:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/40:1H    [kernel.kallsyms]  [k] __schedule
     0.00%  agent            [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/41:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/98:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/39:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/42:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/63:0-ev  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/99:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/28:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  multipathd       [kernel.kallsyms]  [k] __schedule
     0.00%  kcompactd0       [kernel.kallsyms]  [k] __schedule
     0.00%  kcompactd1       [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/11:2-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/109:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/38:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/39:1H-k  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/40:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/102:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/48:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  ksoftirqd/0      [kernel.kallsyms]  [k] __schedule
     0.00%  sshd             [kernel.kallsyms]  [k] __schedule
     0.00%  containerd-shim  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/45:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/47:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/44:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/50:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/u226:2-  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/53:1H-k  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/8:2-eve  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/53:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/67:2-ev  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/56:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/25:2-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/62:1-ev  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/51:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/2:0-mm_  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/82:0-ev  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/49:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  jbd2/nvme0n1p2-  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/71:2-ev  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/80:0-ev  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/52:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/u226:1   [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/37:1H    [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/64:1-ev  [kernel.kallsyms]  [k] __schedule
     0.00%  runc             [kernel.kallsyms]  [k] __schedule
     0.00%  nano             [kernel.kallsyms]  [k] __schedule
     0.00%  snapd            [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/54:1-mm  [kernel.kallsyms]  [k] __schedule
