   76327.617655 lost 7156 events on cpu 5

Runtime summary
                          comm  parent   sched-in     run-time    min-run     avg-run     max-run  stddev  migrations
                                          (count)       (msec)     (msec)      (msec)      (msec)       %
---------------------------------------------------------------------------------------------------------------------
          kworker/55:1-mm[802]       2        112        1.507      0.002       0.013       0.047    7.32       0
               ksoftirqd/3[35]       2         10        0.106      0.007       0.010       0.015    8.01       0
    containerd-shim[4387/3143]    3143         24        3.594      0.007       0.149       0.641   25.67       0
             migration/46[293]       2         39        0.307      0.002       0.007       0.042   12.28       0
        kworker/41:1H[1012005]       2          2        0.019      0.002       0.009       0.016   70.53       0
             ksoftirqd/46[294]       2          1        0.006      0.006       0.006       0.006    0.00       0
             migration/89[551]       2         38        0.284      0.003       0.007       0.040   13.32       0
               migration/4[40]       2         38        0.373      0.003       0.009       0.042   11.12       0
             ksoftirqd/89[552]       2          1        0.006      0.006       0.006       0.006    0.00       0
               ksoftirqd/4[41]       2          2        0.044      0.010       0.022       0.033   52.42       0
             migration/47[299]       2         40        0.340      0.003       0.008       0.041   11.12       0
          kworker/65:1-mm[811]       2         59        0.752      0.007       0.012       0.046    6.51       0
             migration/90[557]       2         38        0.265      0.002       0.006       0.041   14.30       0
               migration/5[46]       2         38        0.267      0.002       0.007       0.036   13.10       0
             ksoftirqd/90[558]       2          2        0.010      0.004       0.005       0.006   17.34       0
               ksoftirqd/5[47]       2          3        0.031      0.009       0.010       0.010    3.27       0
             migration/48[305]       2         39        0.302      0.003       0.007       0.041   12.44       0
            dockerd[4657/2411]    2411          1        0.526      0.526       0.526       0.526    0.00       0
             ksoftirqd/48[306]       2          1        0.015      0.015       0.015       0.015    0.00       0
             migration/91[563]       2         38        0.382      0.003       0.010       0.040   14.91       0
               migration/6[52]       2         38        0.309      0.002       0.008       0.009    3.32       0
               ksoftirqd/6[53]       2          4        0.039      0.008       0.009       0.010    3.87       0
             migration/49[311]       2         39        0.285      0.002       0.007       0.041   13.96       0
             migration/92[569]       2         38        0.291      0.002       0.007       0.041   16.64       0
               migration/7[58]       2         38        0.341      0.004       0.008       0.022    4.56       0
             ksoftirqd/92[570]       2          1        0.006      0.006       0.006       0.006    0.00       0
               ksoftirqd/7[59]       2          3        0.030      0.009       0.010       0.010    2.55       0
             migration/50[317]       2         39        0.286      0.002       0.007       0.040   13.17       0
          kworker/84:1-mm[829]       2         81        0.381      0.002       0.004       0.033   11.77       0
         kworker/64:1H-k[1085]       2          2        0.048      0.020       0.024       0.028   14.45       0
          kworker/85:1-mm[830]       2       1325        6.575      0.001       0.004       0.036    2.35       0
             migration/93[575]       2         38        0.274      0.003       0.007       0.041   15.74       0
          kworker/86:1-mm[831]       2       1721        8.091      0.002       0.004       0.037    1.99       0
               migration/8[64]       2         39        0.417      0.005       0.010       0.041   11.23       0
          kworker/87:1-mm[832]       2       2109        9.668      0.002       0.004       0.045    1.76       0
               ksoftirqd/8[65]       2          3        0.030      0.008       0.010       0.011    7.25       0
          kworker/88:1-mm[833]       2       1430        7.052      0.002       0.004       0.033    2.05       0
          kworker/89:1-mm[834]       2       1758        8.420      0.002       0.004       0.043    1.91       0
             migration/51[323]       2         39        0.273      0.003       0.007       0.040   13.62       0
          kworker/90:1-mm[835]       2       1597        7.532      0.002       0.004       0.068    2.41       0
          kworker/91:1-mm[836]       2       1449        6.510      0.001       0.004       0.029    1.74       0
             migration/94[581]       2         38        0.276      0.002       0.007       0.041   13.83       0
          kworker/92:1-mm[837]       2       1518        7.514      0.002       0.004       0.034    1.71       0
               migration/9[70]       2         39        0.414      0.003       0.010       0.068   16.49       0
             ksoftirqd/94[582]       2          1        0.010      0.010       0.010       0.010    0.00       0
          kworker/93:1-mm[838]       2       1534        7.357      0.002       0.004       0.033    1.85       0
               ksoftirqd/9[71]       2          4        0.036      0.007       0.009       0.011    8.66       0
          kworker/94:1-mm[839]       2       1294        6.347      0.001       0.004       0.042    2.05       0
          kworker/95:1-mm[840]       2       1340        6.109      0.002       0.004       0.031    1.86       0
    containerd-shim[3144/3143]    3143         10        0.202      0.010       0.020       0.036   13.56       0
             migration/52[329]       2         39        0.303      0.003       0.007       0.041   12.53       0
          kworker/96:1-mm[841]       2        893        4.759      0.002       0.005       0.030    2.32       0
    containerd-shim[3145/3143]    3143          5        0.091      0.013       0.018       0.028   14.67       0
          kworker/97:1-mm[842]       2        612        2.428      0.001       0.003       0.018    2.35       0
             migration/95[587]       2         38        0.279      0.003       0.007       0.041   13.81       0
