   76177.910062 lost 5538 events on cpu 58
   76177.916688 lost 1177 events on cpu 64

Runtime summary
                          comm  parent   sched-in     run-time    min-run     avg-run     max-run  stddev  migrations
                                          (count)       (msec)     (msec)      (msec)      (msec)       %
---------------------------------------------------------------------------------------------------------------------
    containerd-shim[4387/3143]    3143         29        3.569      0.007       0.123       0.702   25.07       0
             migration/46[293]       2         38        0.337      0.003       0.008       0.042   10.96       0
             migration/89[551]       2         38        0.202      0.002       0.005       0.041   18.96       0
               migration/4[40]       2         37        0.375      0.008       0.010       0.043   11.04       0
             migration/47[299]       2         38        0.372      0.003       0.009       0.041   13.81       0
          kworker/65:1-mm[811]       2          5        0.084      0.013       0.016       0.020    7.57       0
             migration/90[557]       2         40        0.253      0.002       0.006       0.040   16.31       0
               migration/5[46]       2         37        0.350      0.008       0.009       0.040    9.10       0
             ksoftirqd/90[558]       2          1        0.058      0.058       0.058       0.058    0.00       0
             migration/48[305]       2         38        0.237      0.003       0.006       0.041   16.03       0
            dockerd[4657/2411]    2411         64        8.236      0.009       0.128       2.117   34.76       0
             migration/91[563]       2         38        0.439      0.002       0.011       0.041   16.18       0
               migration/6[52]       2         37        0.323      0.008       0.008       0.013    1.65       0
             migration/49[311]       2         38        0.410      0.003       0.010       0.041   16.35       0
             migration/92[569]       2         38        0.299      0.002       0.007       0.045   18.91       0
               migration/7[58]       2         37        0.379      0.008       0.010       0.041   10.65       0
             migration/50[317]       2         38        0.300      0.003       0.007       0.041   12.45       0
          kworker/84:1-mm[829]       2          4        0.066      0.009       0.016       0.029   26.13       0
          kworker/85:1-ev[830]       2       1078        8.616      0.002       0.007       2.597   30.13       0
             migration/93[575]       2         38        0.280      0.002       0.007       0.041   15.15       0
          kworker/86:1-mm[831]       2       1358        7.177      0.002       0.005       0.042    2.08       0
               migration/8[64]       2         37        0.297      0.002       0.008       0.040   12.15       0
          kworker/87:1-mm[832]       2       1432        7.150      0.001       0.004       0.035    1.90       0
          kworker/88:1-mm[833]       2       1102        5.503      0.002       0.004       0.027    1.88       0
          kworker/89:1-mm[834]       2       1207        6.419      0.002       0.005       0.074    2.46       0
             migration/51[323]       2         38        0.290      0.003       0.007       0.041   15.49       0
          kworker/90:1-mm[835]       2        963        5.031      0.001       0.005       0.043    2.48       0
          kworker/91:1-mm[836]       2        988        5.070      0.002       0.005       0.022    1.91       0
             migration/94[581]       2         38        0.254      0.002       0.006       0.031   12.49       0
          kworker/92:1-mm[837]       2        659        3.593      0.001       0.005       0.043    2.99       0
               migration/9[70]       2         37        0.349      0.008       0.009       0.041    9.43       0
          kworker/93:1-mm[838]       2        527        2.348      0.001       0.004       0.038    3.43       0
          kworker/94:1-mm[839]       2        700        3.441      0.002       0.004       0.028    2.65       0
          kworker/95:1-mm[840]       2        639        3.098      0.002       0.004       0.026    2.77       0
    containerd-shim[3144/3143]    3143         10        0.239      0.010       0.023       0.040   18.22       0
             migration/52[329]       2         38        0.221      0.003       0.005       0.042   17.37       0
          kworker/96:1-mm[841]       2        911        4.381      0.002       0.004       0.039    2.38       0
    containerd-shim[3145/3143]    3143          5        0.143      0.013       0.028       0.037   17.99       0
          kworker/97:1-mm[842]       2        449        1.943      0.001       0.004       0.018    2.79       0
             migration/95[587]       2         38        0.251      0.002       0.006       0.040   15.25       0
          kworker/98:1-mm[843]       2        376        1.634      0.001       0.004       0.031    3.90       0
              migration/10[76]       2         37        0.356      0.008       0.009       0.041    9.34       0
          kworker/99:1-mm[844]       2        339        1.577      0.002       0.004       0.033    4.26       0
          kworker/100:1-m[845]       2        639        2.911      0.002       0.004       0.036    2.75       0
          kworker/101:1-m[846]       2        548        2.659      0.001       0.004       0.032    3.31       0
             migration/53[335]       2         38        0.238      0.003       0.006       0.041   16.16       0
          kworker/102:1-m[847]       2        226        1.015      0.002       0.004       0.028    5.53       0
              snapd[2639/2327]    2327          1        0.645      0.645       0.645       0.645    0.00       0
    containerd-shim[3151/3143]    3143         31        3.710      0.007       0.119       0.600   24.72       0
          kworker/103:1-m[848]       2        519        2.572      0.002       0.004       0.031    3.68       0
         containerd[2384/2345]    2345       1272       27.367      0.002       0.021       0.059    1.16       0
             migration/96[593]       2         38        0.292      0.002       0.007       0.040   12.68       0
          kworker/104:1-m[849]       2        408        1.874      0.002       0.004       0.016    2.79       0
       kworker/u226:0-[916817]       2        784     6341.859      0.004       8.089      82.930    4.75       0
              migration/11[82]       2         37        0.372      0.007       0.010       0.042   10.85       0
             ksoftirqd/96[594]       2          1        0.178      0.178       0.178       0.178    0.00       0
          kworker/105:1-m[850]       2        443        2.116      0.002       0.004       0.031    3.51       0
         containerd[2386/2345]    2345          1        0.510      0.510       0.510       0.510    0.00       0
          kworker/106:1-m[851]       2        483        2.399      0.001       0.004       0.052    4.08       0
         containerd[2387/2345]    2345          2        1.197      0.230       0.598       0.966   61.46       0
          kworker/107:1-m[852]       2        457        2.243      0.001       0.004       0.023    2.81       0
              snapd[2644/2327]    2327          3        2.470      0.020       0.823       2.404   96.01       0
             migration/54[341]       2         38        0.233      0.003       0.006       0.041   16.38       0
          kworker/108:1-m[853]       2        491        2.308      0.002       0.004       0.026    2.95       0
              snapd[2645/2327]    2327          4        0.679      0.019       0.169       0.590   82.46       0
       kworker/u225:3-[906325]       2        467       20.783      0.004       0.044       4.777   23.57       0
