
Runtime summary
                          comm  parent   sched-in     run-time    min-run     avg-run     max-run  stddev  migrations
                                          (count)       (msec)     (msec)      (msec)      (msec)       %
---------------------------------------------------------------------------------------------------------------------
                    systemd[1]       0         14        2.625      0.088       0.187       0.374   11.78       0
             migration/40[257]       2         52        0.415      0.003       0.007       0.041    9.16       0
                   kthreadd[2]       0          2        0.222      0.110       0.111       0.111    0.66       0
             migration/83[515]       2         52        0.469      0.008       0.009       0.043    7.49       0
          kworker/24:1-mm[771]       2          2        0.031      0.013       0.015       0.017   12.22       0
              agent[6659/3163]    3163          3        3.237      0.014       1.079       1.705   49.59       0
              agent[4358/3163]    3163          2        1.211      0.413       0.605       0.797   31.65       0
             migration/41[263]       2         52        0.403      0.003       0.007       0.041    9.45       0
          kworker/28:1-mm[775]       2        345       11.264      0.004       0.032       0.144    4.26       0
          kworker/30:1-ev[776]       2        577        6.438      0.002       0.011       0.266    6.37       0
             migration/84[521]       2         52        0.398      0.002       0.007       0.043   10.00       0
          kworker/29:1-ev[777]       2        865        8.668      0.001       0.010       0.094    4.23       0
            dockerd[4361/2411]    2411         77        6.749      0.012       0.087       1.192   19.74       0
           kworker/u224:0-[10]       2       2302     3490.950      0.008       1.516      43.666    2.29       0
          kworker/31:1-mm[778]       2        310        2.844      0.002       0.009       0.066    7.07       0
              irqbalance[2314]       1         20      182.732      8.975       9.136       9.339    0.32       0
         containerd[4362/2345]    2345        500       31.546      0.012       0.063       1.912    6.47       0
          kworker/32:1-mm[779]       2        115        0.591      0.002       0.005       0.019    6.14       0
          kworker/33:1-mm[780]       2        193        1.384      0.002       0.007       0.131   10.53       0
         jbd2/nvme0n1p2-[1548]       2         97        7.649      0.004       0.078       0.948   16.47       0
            dockerd[4364/2411]    2411          9        3.391      0.011       0.376       1.731   57.88       0
             migration/42[269]       2         52        0.453      0.003       0.008       0.041    8.07       0
          kworker/34:1-mm[781]       2         45        0.270      0.002       0.006       0.018    7.58       0
              agent[4365/3163]    3163          3        1.229      0.120       0.409       0.953   66.44       0
               ksoftirqd/0[14]       2        107        1.645      0.008       0.015       0.104    6.49       0
          kworker/35:1-mm[782]       2        326        2.522      0.002       0.007       0.063    5.15       0
                   gmond[2318]       1         28       11.896      0.053       0.424       1.262   16.95       0
                 rcu_sched[15]       2       2023       31.415      0.004       0.015       0.045    0.63       0
             migration/85[527]       2         52        0.382      0.002       0.007       0.041   15.00       0
          kworker/36:1-mm[783]       2         43        0.393      0.002       0.009       0.046   13.13       0
         kworker/30:1H-k[1295]       2          5        0.536      0.094       0.107       0.144    8.64       0
         networkd-dispat[2319]       1          1        0.607      0.607       0.607       0.607    0.00       0
               migration/0[16]       2         53        0.483      0.008       0.009       0.040    6.68       0
          kworker/37:1-mm[784]       2         31        0.217      0.002       0.007       0.030   14.31       0
        kworker/79:0-mm[90640]       2          7        0.113      0.013       0.016       0.019    4.93       0
          kworker/38:1-mm[785]       2         28        0.205      0.003       0.007       0.030   16.01       0
         containerd[5905/2345]    2345         26        3.188      0.028       0.122       0.896   33.36       0
          kworker/39:1-mm[786]       2         37        0.248      0.002       0.006       0.025   14.66       0
             migration/43[275]       2         52        0.448      0.003       0.008       0.041    8.23       0
          kworker/40:1-mm[787]       2         23        0.204      0.003       0.008       0.026   16.31       0
                  smartd[2323]       1          9        0.531      0.017       0.059       0.158   24.14       0
       kworker/64:1-mm[145427]       2          9        0.194      0.006       0.021       0.042   19.03       0
          kworker/41:1-mm[788]       2         22        0.162      0.003       0.007       0.020   13.14       0
                  screen[7700]       1          7        2.280      0.050       0.325       1.421   58.65       0
       kworker/61:2-mm[145428]       2          3        0.071      0.014       0.023       0.031   21.88       0
       kworker/u228:1-[571668]       2         11        0.265      0.010       0.024       0.032   11.79       0
             migration/86[533]       2         52        0.364      0.003       0.007       0.042   11.11       0
          kworker/42:1-mm[789]       2         17        4.073      0.003       0.239       3.960   97.06       0
            dockerd[4629/2411]    2411         90        4.747      0.017       0.052       0.432   11.34       0
               migration/1[22]       2         53        0.484      0.008       0.009       0.045    7.60       0
          kworker/43:1-mm[790]       2         20        0.210      0.003       0.010       0.036   17.35       0
          kworker/44:1-mm[791]       2        164        2.539      0.002       0.015       0.076    7.40       0
              snapd[2583/2327]    2327          2        0.784      0.257       0.392       0.526   34.22       0
          kworker/45:1-mm[792]       2         81        1.056      0.003       0.013       0.047    5.72       0
              snapd[2584/2327]    2327          1        1.137      1.137       1.137       1.137    0.00       0
